Date,title,bedrooms,price,neighborhood,has_map,has_pics
Feb 10,"Studio in ELakeview Massive Closets, Wellington Line","
                    1br -
                ",$1035, (Lakeview East),map,"
                    pic
                    "
Feb 10,STUNNING UNIT! Lincoln Park Studio W/ LAUNDRY~B LINE!~ 1 MONTH FREE,"
                    2br -
                ",$1238, (Lakeview),map,"
                "
Feb 10,"Renovated E. Lakeview 1 bed w SS Apps, DW, HWF, Roof Deck, Pets OK.","
                    1br -
                ",$1525, (Lakeview East),map,"
                    pic
                    "
Feb 10,"2 bed! Back deck, renovated, near Southport brownline","
                    1br -
                    790ft",$1750, (Lakeview),map,"
                "
Feb 10,Big Kitchen W/Dishwasher! 2nd Month Free! Patio W/Grills On The Beach!," -
                ",$1245, (Edgewater Beach),map,"
                    pic
                    "
Feb 10,❶Indoor Pool year round ❶ new renovations❶best specials*,"
                    1br -
                ",$1224, (Naperville),map,"
                "
Feb 10,Stunning Studio Close to Wellington Line! In Unit Laundry - ALL NEW!,"
                    2br -
                ",$1238, (Lakeview),map,"
                    pic
                    "
Feb 10,One bed plus office in Lincoln Park near Brown line,"
                    2br -
                    790ft",$1350, (Lincoln Park),map,"
                "
Feb 10,NEW~Reno Lincoln Park Studio w/ W/D ~1 MONTH OFF!," -
                ",$1238, (Lakeview),map,"
                    pic
                    "
Feb 10,"LAKEVIEW GUT REHAB 2BDRM, GRANITE, ST/STL, A/C, DECK","
                    1br -
                ",$1630, (1900 W. BERTEAU),map,"
                "
Feb 10,Spacious Lakeview With Heat Included! Close to Red Line.,"
                    2br -
                    1409ft",$1075, (Lakeview),map,"
                    pic
                    "
Feb 10,"Custom Cabinetry, On-site management, Close to Shopping"," -
                ",$1316, (Hyde Park),map,"
                "
Feb 10,Rent Specials! Heat Included! Elevator Building! BBQ Area On The Beach,"
                    2br -
                ",$1245, (Edgewater Beach),map,"
                    pic
                    "
Feb 10,"Pet Friendly, City View, Business Center","
                    1br -
                ",$4260, (Uptown),map,"
                "
Feb 10,Uptown  - New Rehabbed 2 Bedroom / 1 Bathroom Apartment $1541,"
                    2br -
                ",$1541, (Irving Park/ Avondale),map,"
                    pic
                    "
Feb 10,"FREE HEAT, small pets Ok, SEPARATE KITCHEN, no sec dep!!","
                    1br -
                    455ft",$780, (Lakeview),map,"
                "
Feb 10,Renovated Lakeview 1 Bed In-Unit Laundry. Near the Red Line.," -
                ",$1795, (Chicago),map,"
                    pic
                    "
Feb 10,Bed / 1 Bath in East Albany Park! (4611 N. Kedzie #2N),"
                    1br -
                ",$1600, (Ravenswood),map,"
                "
Feb 10,Ravenswood - 1 Bedroom / 1 Bath Apartment $1231,"
                    1br -
                ",$1231, (Ravenswood),map,"
                    pic
                    "
