area,baths,beds,latitude,link,longitude,others,postdate,postid,price,title
,1Ba,1BR,41.956332,https://chicago.craigslist.org/chc/apa/d/chicago-renovated-lakeview-1bd-apt-pets/6824723091.html,-87.669255,,Feb 26,6824723091,$1420,Renovated Lakeview 1BD apt w/ Pets Welcome. Walk to Brown line!
,1Ba,0BR,41.903300,https://chicago.craigslist.org/chc/apa/d/chicago-spacious-studio-apt-in-old-town/6824700825.html,-87.633600,,Feb 26,6824700825,$1295,Spacious Studio apt in Old Town w/ No Sec Dep. Near Red line!
,1Ba,0BR,41.904032,https://chicago.craigslist.org/chc/apa/d/chicago-charming-studio-apt-in-gold/6824703239.html,-87.630053,,Feb 26,6824703239,$1095,Charming Studio Apt in Gold Coast w/ Heat Included. Near Red line!
,1Ba,1BR,41.938032,https://chicago.craigslist.org/chc/apa/d/chicago-1-bedroom-apartment-just-block/6822167460.html,-87.644554,,Feb 26,6822167460,$1325,1-Bedroom Apartment Just a Block from the Lakefront Steps From Downtow
,1Ba,0BR,41.938832,https://chicago.craigslist.org/chc/apa/d/chicago-classic-studio-apartment-with/6822167455.html,-87.644554,,Feb 26,6822167455,$1065,"Classic Studio Apartment with Crown Molding, Bay Windows and Pedestal"
,1Ba,1BR,41.940332,https://chicago.craigslist.org/chc/apa/d/chicago-rent-this-1bd-in-modern-high/6822167448.html,-87.639854,,Feb 26,6822167448,$1540,Rent This 1BD In A Modern High-Rise:  Walk To Everything In Your Neigh
,1Ba,1BR,41.936632,https://chicago.craigslist.org/chc/apa/d/chicago-lk-bright-lakeview-east-one/6822167436.html,-87.642054,,Feb 26,6822167436,$1418,L@@K ~ Bright Lakeview East One Bedroom ~ Modern ~ Perfect Location
,1Ba,3BR,41.924532,https://chicago.craigslist.org/chc/apa/d/chicago-must-see-spacious-3br-available/6822990696.html,-87.710374,,Feb 26,6822990696,$1895,Must See Spacious 3BR Available in Heart of Logan Square!
,1Ba,0BR,41.945532,https://chicago.craigslist.org/chc/apa/d/chicago-lovely-studio-good-closet-space/6828577414.html,-87.653755,,Feb 26,6828577414,$1050,LOVELY STUDIO W/ GOOD CLOSET SPACE *HWD FLOORS *HEAT INCLUDED!
,1Ba,0BR,41.936632,https://chicago.craigslist.org/chc/apa/d/chicago-modern-studio-with-prime/6812073378.html,-87.642054,,Feb 26,6812073378,$1148,Modern Studio With Prime Location Between Two Popular Neighborhoods
,1Ba,0BR,41.990900,https://chicago.craigslist.org/chc/apa/d/chicago-super-upgraded-studio-exposed/6815104650.html,-87.662900,,Feb 26,6815104650,$1200,"Super Upgraded Studio. Exposed brick, granite & stainless. Heat Incl."
,1Ba,1BR,42.009500,https://chicago.craigslist.org/chc/apa/d/chicago-1-bd/6813807048.html,-87.668900,,Feb 26,6813807048,$1215,1 Bd
1005,2Ba,2BR,41.879332,https://chicago.craigslist.org/chc/apa/d/chicago-furnished-gorgeous-west-loop/6806639185.html,-87.646185,"available feb 12,cats are OK - purrr,dogs are OK - wooof,furnished,apartment,w/d in unit,no smoking,attached garage",Feb 26,6806639185,$3390,"Furnished, Gorgeous West Loop 2BR w/ Gym, near Restaurant Row"
1500,1Ba,3BR,41.938552,https://chicago.craigslist.org/chc/apa/d/chicago-lakeview-east-three-bedroom/6814884957.html,-87.644463,"available jan 1, 2018,apartment,laundry in bldg,off-street parking",Feb 26,6814884957,$2095,LAKEVIEW EAST - THREE BEDROOM ****************************************
,2Ba,3BR,41.894732,https://chicago.craigslist.org/chc/apa/d/chicago-3-bedroom-2-bath-full-amenity/6816820139.html,-87.641553,,Feb 26,6816820139,$3850,3 Bedroom/2 Bath Full Amenity Building ~River North
,1Ba,1BR,41.903425,https://chicago.craigslist.org/chc/apa/d/chicago-opened-in-june-2018-one-bedroom/6820449473.html,-87.634950,,Feb 26,6820449473,$2850,Opened in June 2018 One Bedroom ~ Old Town/Gold Coast
1370,2Ba,2BR,41.885896,https://chicago.craigslist.org/chc/apa/d/chicago-perfectly-placed-in-loop-by/6824837734.html,-87.634046,"available feb 21,cats are OK - purrr,dogs are OK - wooof,apartment,w/d in unit,no smoking,attached garage",Feb 26,6824837734,$3450,Perfectly Placed in Loop by River North a 2 Bedroom / 2 Bath ~ W/D
,2Ba,2BR,41.869233,https://chicago.craigslist.org/chc/apa/d/chicago-south-loop-2-bedroom-2-bath-on/6824840786.html,-87.624151,,Feb 26,6824840786,$2715,South Loop 2 Bedroom / 2 Bath on Michigan Ave ~ Gym ~ Pool
735,1Ba,1BR,41.899132,https://chicago.craigslist.org/chc/apa/d/chicago-newly-renovated-gold-coast-1/6828530374.html,-87.628352,"available feb 26,apartment,w/d in unit",Feb 26,6828530374,$2154,"Newly renovated Gold Coast 1 bed, 1 bath w/in-unit! Location, location"
900,1Ba,2BR,41.902500,https://chicago.craigslist.org/chc/apa/d/chicago-austin-area-huge-2-bedroom/6807456161.html,-87.739300,"available feb 26,apartment",Feb 26,6807456161,$800,Austin Area/ Huge 2 Bedroom
,2Ba,2BR,41.883232,https://chicago.craigslist.org/chc/apa/d/west-loop-2-bedroom-2-bath-hardwood-d/6824841787.html,-87.644153,,Feb 26,6824841787,$3665,West Loop 2 Bedroom / 2 Bath ~ Hardwood ~ W/D ~ Balcony
,1Ba,1BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-top-notch-1-bedroom-available/6819172408.html,-87.624485,,Feb 26,6819172408,$1795,"Top Notch 1 Bedroom Available on Michigan Ave - Pool, Gym, Doorman"
,1Ba,1BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-modern-one-bedroom-on-michigan/6819174605.html,-87.624485,,Feb 26,6819174605,$1795,Modern One Bedroom on Michigan And Randolph! Next to Millennium Park!
,1Ba,1BR,41.869233,https://chicago.craigslist.org/chc/apa/d/chicago-south-loop-1-bedroom-1-bath-on/6824843305.html,-87.624151,,Feb 26,6824843305,$1803,South Loop 1 Bedroom / 1 Bath on Michigan Ave ~ Pool ~ Gym
,2Ba,3BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-michigan-ave-3-bedroom-amazing/6817735517.html,-87.624485,,Feb 26,6817735517,$3425,Michigan Ave 3 Bedroom - Amazing Views and Location! Available 04/01
